"id","nev","cel","belepesi_pont","auth_szukseges","fo_interakciok","adatforrasok","validaciok","kezelt_allapotok","a11y"
"S01","Login","A felhasználó email/jelszó párossal belép, jelszó resetet kérhet vagy regisztrációra léphet.","S01; induló; kijelentkezés után","nem","email mező; jelszó mező; Belépés; Elfelejtett jelszó; Regisztráció","Firebase Auth; users collection a belépés utáni role és accountStatus routinghoz","email és jelszó kötelező; Firebase Auth hibák user-facing üzenettel","loading; error; success","címkézett TextField mezők; gombos fő interakciók; hiba szövegesen jelenik meg"
"S02","Regisztráció","Új vásárlói vagy kereskedői fiók létrehozása szerepkörrel és alap profiladatokkal.","S02; induló; kijelentkezés után","nem","szerepkör választás; email; jelszó; display name; cégnév kereskedőnél; Regisztráció","Firebase Auth; users collection","kötelező mezők; kereskedőnél cégnév kötelező; auth hibák","loading; error; success","radio/list tile szerepkör választás; címkézett mezők; szöveges validáció"
"S03","Fogyasztói ajánlatlista","A vásárló releváns ajánlatokat böngészhet listában vagy térképen, kategória- és helypreferencia alapján.","S01 consumer belépés; push notification productId-val; bármelyik oldalról a Kezdőlapra kattintva","igen","kategóriaszűrő; lista/térkép váltás; termék megnyitás; Lefoglalom; Miért ajánlott; Nem érdekel; app bar navigáció","products; interests; userImplicitPrefs; userNegativePrefs; users/{uid}; FCM foreground message","kategória kiválasztás; sold-out esetén foglalás tiltva","loading; empty; error; success","szöveges listaelemek képek mellett; tooltip az ikon gombokon; üres állapot szöveggel"
"S04","Termék részletek","A vásárló megnézi a termék adatait, a kereskedő értékelését, majd foglal vagy kedvencnek jelöli.","S03 termékkártya; push notification Open action","igen","Lefoglalom; Kedvenc/eltávolítás; Nem érdekel; review lista megtekintése","products snapshot; merchantStats; reviews; interests; userInteractions; userNegativePrefs; reserveProduct callable","mennyiség > 0 kell a foglaláshoz; kedvenc és negatív preferencia hibák snackbarban","loading; error; success","képalternatíva placeholderrel; gombok ikon + szöveg kombinációval; snackbar visszajelzés"
"S05","Foglalás részletei","A vásárló látja a pickup kódot és QR tokent, lemondhatja a foglalást, illetve completed után értékelhet.","S03/S04 foglalás után; S18 foglaláslista útvonal","igen","pickup code kijelölése; QR megjelenítés; Foglalás lemondása; refund igénylés; Értékelés írása","reservations; reviews; cancelReservation callable; submitReview callable","lemondási ok kötelező; review comment legalább 3 karakter; review csak completed után","loading; not-found; error; success","SelectableText pickup kódhoz; QR vizuális és token szövegesen; dialógusok címkézett mezőkkel"
"S06","Fogyasztói fiók","A vásárló profil- és helypreferenciát, érdekelt kategóriákat kezel, illetve kijelentkezik.","bármelyik oldalról a Fiókomra kattintva","igen","felhasználónév szerkesztés; pontos hely/csak város mód; aktuális hely meghatározása; kategóriák mentése; kijelentkezés","users/{uid}; geolocator; location catalog; AuthService","név és hely mezők ellenőrzése; helyhozzáférés hibák; kategória mentés hiba","loading; error; success","címkézett mezők; segmented választás; kapcsolók/list tiles; szöveges státusz"
"S07","Kereskedői terméklista","A kereskedő áttekinti saját termékeit, archiválhat vagy szerkeszthet és új terméket indíthat.","S01 merchant belépés; S08 mentés után","igen","Új termék FAB; termék szerkesztése; archiválás; top navigáció foglalások/dashboard/profil","products ownerId alapján; reservations reserved count","lefoglalt termék nem szerkeszthető; archiválás megerősítő dialógus","loading; empty; error; success","listaelemek szöveges státusszal; megerősítő dialógus; gombos navigáció"
"S08","Termékfeltöltő űrlap","A kereskedő új terméket hoz létre vagy meglévő, még nem foglalt terméket szerkeszt.","S07 Új termék; S07 termék szerkesztése","igen","űrlap kitöltése; kép hozzáadása; lejárati dátum; pickup idősáv; árjavaslat; mentés","products; users merchant companyLocation; Firebase Storage; pricing recommendation; archive/reprice/product service","név, kategória, árak, mennyiség, lejárat és pickup idősáv; ár és mennyiség pozitív; pickup vége későbbi mint kezdete; céghely szükséges","loading; validation error; error; success","címkézett űrlapmezők; validációs hiba szövegben; dátum/idő gombok; kép nélkül is használható"
"S09","Kereskedői foglalás / refund","A kereskedő ellenőrzi az átvételi kódot vagy QR-t, és kezeli a refund státuszt.","S07 Foglalások action; S05 lifecycle után","igen","QR scanner; pickup kód kézi ellenőrzés; átvétel rögzítése; refund státusz módosítása","reservations merchantId alapján; completeReservation callable; updateRefundStatus callable","pickup input kötelező; invalid pickup hiba; refund státusz csak engedett érték lehet","loading; empty; error; success","QR mellett kézi kód input; snackbar siker/hiba; státusz szövegesen"
"S10","Kereskedői dashboard","A kereskedő aggregált teljesítménymutatókat, admin üzeneteket, review-kat és árjavaslatokat lát.","S07 Dashboard action","igen","CSV export; admin üzenet olvasottra jelölése; ár alkalmazása; review-k megtekintése","merchantStats; products; reservations; reviews; users/{uid}/adminMessages; repriceProduct callable","ár alkalmazásnál backend hiba kezelése; export elérhető adatokból","loading; empty; error; success","kártyák szöveges címkékkel; státusz chipek; gombos műveletek"
"S11","Kereskedői profil","A kereskedő cégnév- és helyadatot kezel, majd kijelentkezhet.","S07 Profil action","igen","felhasználónév szerkesztés; cégnév szerkesztés; aktuális hely meghatározása; mentés; kijelentkezés","users/{uid}; geolocator; AuthService","cégnév és helyadat mentési hibák; location permission hiba","loading; error; success","címkézett list tile mezők; szöveges státusz; gombos mentés"
"S12","Admin dashboard","Az admin egy képernyőn látja a rendszer fő mutatóit és moderációs fókuszpontjait.","S01 admin custom claim belépés","igen","admin section navigation; kijelentkezés; dashboard metrikák megtekintése","users; products; reservations; merchantStats","admin claim és aktív accountStatus szükséges","loading; error; success","NavigationRail/NavigationBar címkékkel; metrikakártyák ikon + szöveg kombinációval"
"S13","Admin-felhasználók","Az admin felhasználókat, beleértve kereskedőket és vásárlókat kereshet és megnézheti a hozzájuk tartozó részleteket.","S12 navigation","igen","keresés; role/status chipek; Részletek megnyitás","users; products; reservations; merchantStats","kereső szabad szöveg; admin jogosultság","loading; empty; error; success","keresőmező címkével; szöveges üres állapot; státusz nem csak színnel"
"S14","Admin-kereskedő részlet","Az admin felhasználó státuszt, kereskedői adatokat, kapcsolódó termékeket/foglalásokat és admin üzeneteket kezel.","S13 Részletek","igen","felfüggesztés; visszaaktiválás; tiltás; rating sablon; admin üzenet küldése","users; products; reservations; merchantStats; reviews; users/{uid}/adminMessages; setUserAccountStatus; sendAdminMessageToMerchant","admin saját fiók tiltása nem engedett; üzenetnél tárgy és törzs kötelező; csak merchantnek küldhető admin üzenet","loading; empty; error; success","státusz chipek; gombok szöveges címkével; validáció snackbarban"
"S15","Admin-termékek","Az admin termékeket keres és státusz szerint szűr moderációs döntéshez.","S12 navigation","igen","termék keresés; státusz szűrő chipek; termék megnyitása","products; users; reservations","státusz filter csak ismert értékek; admin jogosultság","loading; empty; error; success","keresőmező és chipek címkézve; üres találati szöveg"
"S16","Admin-termék részlet","Az admin termékadatokat és kapcsolódó foglalásokat lát, majd elrejtheti, visszaállíthatja vagy archiválhatja a terméket.","S15 Megnyitás","igen","elrejtés; visszaállítás; törlés/archiválás; foglalások megtekintése","products; reservations; users; hideProductForAdmin; restoreProductForAdmin; deleteProductForAdmin","admin jogosultság; nem létező termék not-found; soft-delete állapotváltás","loading; empty; error; success","destruktív műveletek külön gombon; státusz és árak szövegesen"
"S17","Admin-foglalás részlet","Az admin egy reservation teljes tranzakciós állapotát, szereplőit és refund adatait ellenőrzi.","S12/S15/S16 reservation részletek","igen","foglalási részletek megtekintése; pickup/refund/status adatok ellenőrzése","reservations; products; users","admin jogosultság; hiányzó kapcsolt entitások fallback ID-val","loading; error; success","minden státusz és kapcsolt szereplő szövegesen; egyszerű olvasható részletnézet"
"S18","Fogyasztói foglaláslista","A vásárló az összes saját foglalását áttekinti, majd részletoldalra léphet (megnézheti a foglalás részleteit).","S03 app bar Foglalásaim action; S06/S19 top navigation","igen","foglalások listázása; foglalás részleteinek megnyitása; top navigáció home/kedvencek/fiók","reservations buyerId alapján; productSnapshot; Firebase Auth","bejelentkezett user szükséges; hiányzó/üres lista kezelése","loading; empty; error; success","szöveges státusz, pickup kód és árösszeg; listaelem teljes sorból megnyitható"
"S19","Fogyasztói kedvencek","A vásárló a kedvencnek jelölt termékeit látja, megnyithatja vagy eltávolíthatja őket.","S03/S18/S06 top navigation; S04 Kedvenc action után","igen","kedvenc termék megnyitása; eltávolítás a kedvencekből; top navigáció","interests userId alapján; products; ProductService","hiányzó productId hibás bejegyzésként jelenik meg; nem létező termék eltávolítható","loading; empty; error; success","eltávolítás tooltip; üres állapot szöveggel; listaelem szöveges termékadatokkal"
"S20","Kereskedői foglaláslista","A kereskedő a saját foglalásait listázza, QR vagy pickup kód alapján átvételt indíthat.","S07 Foglalások action; S09 detail visszanavigálás","igen","QR scanner; pickup kód ellenőrző dialógus; foglalás részleteinek megnyitása; top navigáció","reservations merchantId alapján; completeReservation callable; findReservationIdByPickupCode","pickup input kötelező; invalid pickup token vagy nem található kód hibája","loading; empty; error; success","QR scanner mellett kézi input; státusz és refund szövegesen; gombos átvételi művelet"
"S21","Admin-kereskedők","Az admin a kereskedői felhasználókat külön listában látja termék-, rating- és foglalási összefoglalóval.","S12 admin navigation Kereskedők szekció","igen","kereskedő keresés; rating/termék/foglalás chipek; részletek megnyitása","users role=merchant; products; reservations; merchantStats","kereső szabad szöveg; admin jogosultság","loading; empty; error; success","keresőmező címkével; chipek szöveges értékekkel; részletek gombbal"
"S22","Admin-vásárlók","Az admin a vásárlói felhasználókat külön listában látja foglalási és completed/cancelled összefoglalóval.","S12 admin navigation Vásárlók szekció","igen","vásárló keresés; foglalási chipek; részletek megnyitása","users role=consumer; reservations; merchantStats","kereső szabad szöveg; admin jogosultság","loading; empty; error; success","keresőmező címkével; státusz chipek; üres találati szöveg"
"S23","Admin-foglalások","Az admin látja a foglalásokat, és ezekre tud szűrni státusz alapján","S12 admin navigation Foglalások szekció","igen","foglalás keresés; státusz filter chipek; foglalás részlet megnyitása","reservations; products; users","státusz filter csak ismert értékek; admin jogosultság","loading; empty; error; success","keresőmező és filter chipek címkézve; státuszok szöveggel"
"S24","Admin-vásárló részlet","Az admin egy vásárló profilját, account státuszát és foglalási előzményeit ellenőrzi.","S22 Részletek; S13 consumer részlet","igen","account státusz módosítása; kapcsolódó foglalások áttekintése; termék nélküli user részlet kezelése","users; reservations; products; setUserAccountStatus callable","admin saját fiók tiltása nem engedett; státuszmódosítás admin jogosultságot igényel","loading; empty; error; success","InfoBadge elemek szöveges címkékkel; státusz gombok; foglalási előzmény szöveges listában"
